cycle_index,discharge_capacity,charge_capacity,discharge_energy,charge_energy,dc_internal_resistance,temperature_maximum,temperature_average,temperature_minimum,date_time_iso,energy_efficiency,charge_throughput,energy_throughput,charge_duration,time_temperature_integrated,paused
0,1.5640237,1.0670766,4.8033166,3.7227345,0.014163367450237002,37.26068115234375,32.17830276489258,22.222190856933594,2018-04-13T01:27:28+00:00,1.290265690448781,1.067076563835144,3.7227344512939453,101632.0,54476.544108072914,0
1,1.0678786,1.0677065,3.2616513,3.7103221,0.013937968760728002,37.929996490478516,34.624019622802734,31.917734146118164,2018-04-14T06:19:44+00:00,0.879074973032664,2.134783029556274,7.433056831359863,640.0,1614.3564778645832,0
2,1.0678563,1.067731899999999,3.262215399999999,3.7090642,0.013943589292466,37.77052307128906,34.63801956176758,31.947052001953125,2018-04-14T07:06:40+00:00,0.8795251912867941,3.202514886856079,11.142120361328125,512.0,1541.1256184895833,0
3,1.0680218,1.0678043,3.2635055,3.7087244999999998,0.013940020464360001,37.787654876708984,34.63206481933594,31.932058334350586,2018-04-14T07:51:28+00:00,0.879953606691464,4.27031946182251,14.850845336914062,640.0,1614.5005533854167,0
4,1.0681052,1.067975899999999,3.2641499,3.708718799999999,0.013943192549049,37.802955627441406,34.633033752441406,31.84029197692871,2018-04-14T08:38:24+00:00,0.8801287118343941,5.338294982910156,18.5595645904541,640.0,1538.9084065755208,0
5,1.0682704,1.068052899999999,3.2645659,3.7085011,0.013950135558843,37.795318603515625,34.59041213989258,31.793474197387695,2018-04-14T09:23:12+00:00,0.8802925526973681,6.40634822845459,22.268064498901367,640.0,1612.452628580729,0
6,1.068392,1.0681226,3.2647226,3.708353299999999,0.013953487388789002,37.82455825805664,34.57318115234375,31.799924850463867,2018-04-14T10:10:08+00:00,0.8803698935589551,7.474470615386963,25.97641944885254,512.0,1536.7201334635415,0
7,1.068696699999999,1.0683472,3.2657049,3.7090609,0.013965705409646001,37.74506759643555,34.550201416015625,31.82168197631836,2018-04-14T10:54:56+00:00,0.88046677799224,8.542818069458008,29.68548011779785,640.0,1536.210791015625,0
8,1.0685678,1.06836,3.2655778,3.7090306,0.013979798182845001,37.7439079284668,34.56864929199219,31.841777801513672,2018-04-14T11:39:44+00:00,0.880439703031837,9.611177444458008,33.394508361816406,640.0,1612.226485188802,0
9,1.0686046,1.0684141,3.265734,3.7089031,0.013969095423817001,37.756019592285156,34.5824089050293,31.887401580810547,2018-04-14T12:26:40+00:00,0.8805120845567521,10.67959213256836,37.10341262817383,512.0,1537.743253580729,0
10,1.0686178,1.0684478,3.265684399999999,3.7089078,0.013976241461932002,37.58171844482422,34.55150604248047,31.57109832763672,2018-04-14T13:11:28+00:00,0.8804975955455131,11.748040199279785,40.812320709228516,640.0,1535.387296549479,0
11,1.0685649,1.0683869,3.265299799999999,3.7084911,0.013986672274768,37.678009033203125,34.51112365722656,31.55476188659668,2018-04-14T13:56:16+00:00,0.8804928236176701,12.816426277160645,44.52081298828125,640.0,1609.0222615559894,0
12,1.0683353,1.068180699999999,3.2641811,3.707667599999999,0.013983648270368002,37.527809143066406,34.48911666870117,31.645740509033203,2018-04-14T14:43:12+00:00,0.8803866614148471,13.884607315063477,48.22848129272461,512.0,1533.8897379557293,0
13,1.0681915,1.0680252000000001,3.2632763,3.707160199999999,0.013987819664180001,37.78534698486328,34.59678649902344,31.817119598388672,2018-04-14T15:28:00+00:00,0.880263091948386,14.952632904052734,51.935638427734375,640.0,1537.0796468098958,0
14,1.0681823,1.0679071,3.263564299999999,3.706796899999999,0.014007378369569001,37.757015228271484,34.53144836425781,31.70628547668457,2018-04-14T16:12:48+00:00,0.880427060894542,16.020540237426758,55.64243698120117,640.0,1534.4957071940103,0
15,1.0681145,1.0678409,3.2635069,3.7065182,0.014002393931150001,37.67343521118164,34.587310791015625,32.00840759277344,2018-04-14T16:57:36+00:00,0.8804777756116231,17.088380813598633,59.34895324707031,640.0,1612.0166097005206,0
16,1.0678563,1.067731399999999,3.2633958,3.7059236,0.014010413549840001,37.711700439453125,34.59782409667969,31.947538375854492,2018-04-14T17:44:32+00:00,0.88058906557059,18.156112670898438,63.05487823486328,512.0,1540.2440511067707,0
17,1.067700899999999,1.0675033,3.2629452,3.7047794,0.014011354185640002,37.79860305786133,34.67829895019531,31.893199920654297,2018-04-14T18:29:20+00:00,0.880739403809036,19.223615646362305,66.75965881347656,512.0,1542.0502115885415,0
18,1.0675895,1.067317,3.2623887,3.7039232,0.014013359323143001,37.83118438720703,34.69549560546875,31.988676071166992,2018-04-14T19:14:08+00:00,0.8807927496984811,20.290931701660156,70.46358489990234,512.0,1543.3930826822916,0
19,1.067416699999999,1.067242399999999,3.2617111,3.7036333,0.014011735096573,37.79827117919922,34.70186996459961,31.950942993164062,2018-04-14T19:58:56+00:00,0.880678737822127,21.35817527770996,74.1672134399414,512.0,1542.9635986328124,0
20,1.0673078,1.0670465,3.261252399999999,3.7030084,0.014014171436429001,37.77329635620117,34.659751892089844,31.955677032470703,2018-04-14T20:43:44+00:00,0.8807034842265,22.425220489501953,77.87022399902344,640.0,1540.5103678385415,0
21,1.0671793,1.0669857,3.260862799999999,3.7028794,0.014040188863873001,37.712284088134766,34.67072677612305,31.922616958618164,2018-04-14T21:28:32+00:00,0.8806289505404901,23.492206573486328,81.57310485839844,640.0,1541.1263997395831,0
