cycle_index,discharge_capacity,charge_capacity,discharge_energy,charge_energy,dc_internal_resistance,temperature_maximum,temperature_average,temperature_minimum,date_time_iso,energy_efficiency,charge_throughput,energy_throughput,charge_duration,time_temperature_integrated,paused
0,1.5422875,1.0653598,4.7260265,3.7130867999999992,0.01548502780497,34.06071472167969,30.950054168701172,22.423011779785156,2018-04-13T01:27:28+00:00,1.272802591094827,1.065359830856323,3.7130868434906,101760.0,,0
1,1.0665728,1.0660903,3.2501111,3.7013445,0.015434841625392002,33.433834075927734,32.14949417114258,30.830272674560547,2018-04-14T06:21:52+00:00,0.8780893267297871,2.131450176239013,7.414431095123291,640.0,1505.2169567843625,0
2,1.0674551,1.0669638,3.253550299999999,3.702806,0.015398954972624002,33.40396499633789,32.106605529785156,30.779943466186523,2018-04-14T07:08:48+00:00,0.878671553411115,3.198413848876953,11.117237091064453,640.0,1571.9313400252913,0
3,1.068284899999999,1.0676115,3.2569406,3.7043991,0.015365342609584002,33.32526779174805,32.0885124206543,30.824745178222656,2018-04-14T07:57:52+00:00,0.8792088843774951,4.266025543212891,14.821636199951172,512.0,1434.1570689013608,0
4,1.0687084,1.0681635,3.2589636,3.7053311,0.015326311811804001,33.304203033447266,32.086307525634766,30.80454444885254,2018-04-14T08:42:40+00:00,0.879533707527513,5.334188938140869,18.526968002319336,640.0,1502.1776137008142,0
5,1.0690936,1.0686951,3.2603614,3.7068087999999992,0.01530881691724,33.2571907043457,32.04114532470703,30.791833877563477,2018-04-14T09:29:36+00:00,0.8795601758580051,6.402884006500244,22.233776092529297,640.0,1500.3024846953565,0
6,1.069415,1.0689446,3.261518,3.7073231,0.015302170068025001,33.29499816894531,32.01417922973633,30.691322326660156,2018-04-14T10:16:32+00:00,0.8797501356167201,7.471828460693359,25.941099166870117,640.0,1498.8524681332901,0
7,1.0697305,1.0693917,3.2626324,3.7084062,0.015286351554095001,33.306644439697266,32.0474853515625,30.734111785888672,2018-04-14T11:03:28+00:00,0.8797936968177861,8.541220664978027,29.649505615234375,640.0,1499.998535792502,0
8,1.0699873,1.0695196,3.2637722,3.7082927000000003,0.01526806782931,33.36469650268555,32.07064437866211,30.738611221313477,2018-04-14T11:50:24+00:00,0.8801279898968061,9.610739707946777,33.3577995300293,512.0,1432.5553541895322,0
9,1.070236899999999,1.069904,3.2646182,3.7093527,0.015264428220689002,33.36583709716797,32.08159255981445,30.760095596313477,2018-04-14T12:35:12+00:00,0.8801045530127131,10.680644035339355,37.0671501159668,640.0,1501.574941874246,0
10,1.0704191,1.0700208,3.2652286999999998,3.709383999999999,0.015249967575073001,33.60875701904297,32.07622528076172,30.711397171020508,2018-04-14T13:22:08+00:00,0.8802617092218,11.750664710998535,40.77653503417969,640.0,1501.3283771219662,0
11,1.0704424,1.0700408,3.2655013,3.7092543,0.015245876275002,33.27589797973633,32.05302047729492,30.974178314208984,2018-04-14T14:09:04+00:00,0.88036598083879,12.82070541381836,44.48579025268555,640.0,1499.5113358190383,0
12,1.0705919,1.0703201,3.2653539,3.7103859999999997,0.015248850919306,33.35957336425781,32.07500076293945,30.80864143371582,2018-04-14T14:56:00+00:00,0.8800577352329381,13.89102554321289,48.19617462158203,512.0,1432.849536476283,0
13,1.0705655,1.0701915,3.2651719999999997,3.7101574,0.015266261063516001,33.41598892211914,32.0457763671875,30.762475967407227,2018-04-14T15:40:48+00:00,0.88006293210094,14.961216926574707,51.906333923339844,640.0,1499.455067865901,0
14,1.0704837,1.070273399999999,3.2652402,3.7102406,0.015257373452186002,33.342735290527344,31.99885368347168,30.68419075012207,2018-04-14T16:27:44+00:00,0.880061578755835,16.031490325927734,55.616573333740234,640.0,1497.1545232377441,0
15,1.0706061,1.0702846,3.2659285000000002,3.7098074,0.015244458802044001,33.406044006347656,32.06089782714844,30.64265251159668,2018-04-14T17:14:40+00:00,0.880349880158199,17.101774215698242,59.32638168334961,640.0,1500.5284780975626,0
16,1.0706448999999991,1.0702916,3.266359299999999,3.7094389999999997,0.015223186463117001,33.41276168823242,32.121273040771484,30.792261123657227,2018-04-14T18:01:36+00:00,0.8805534475698341,18.172067642211914,63.03582000732422,512.0,1434.2428350685127,0
